Force,Intro,Total calls (2014-04),Total calls (2014-05),Total calls (2014-06),Total calls (2014-07),Total calls (2014-08),Total calls (2014-09),Total calls (2014-10),Total calls (2014-11),Total calls (2014-12),Total calls (2015-01),Total calls (2015-02),Total calls (2015-03),Total calls explanation,Answer time (2014-04),Answer time (2014-05),Answer time (2014-06),Answer time (2014-07),Answer time (2014-08),Answer time (2014-09),Answer time (2014-10),Answer time (2014-11),Answer time (2014-12),Answer time (2015-01),Answer time (2015-02),Answer time (2015-03),Answer time explanation,Abandonment rate (2014-04),Abandonment rate (2014-05),Abandonment rate (2014-06),Abandonment rate (2014-07),Abandonment rate (2014-08),Abandonment rate (2014-09),Abandonment rate (2014-10),Abandonment rate (2014-11),Abandonment rate (2014-12),Abandonment rate (2015-01),Abandonment rate (2015-02),Abandonment rate (2015-03),Abandonment explanation,About the service explanation,About the data explanation
Northamptonshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",18929,20275,21221,15092,25640,26591,26314,24694,23192,23426,22768,26616,Data for June includes calls to other non-emergency numbers.,14.57,15.14,23.53,35,29.4,39.3,27.5,23.5,17.3,22,24,18,"In July, Northamptonshire Police recorded the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues. In August and September, it recorded the average time taken for calls to be answered by its switchboard.",4,4,6,6.9,4,5.9,2.43,1.99,1.34,0.018,0.022,0.015,Abandoned calls are counted only after they have reached local service level (30 seconds) and are calculated from the total calls received via 101.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Northern Ireland,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it.                                                                                                                                                                 You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries.                                                                                                                               101 calls are answered by an automated system which will transfer you to the local police force you need to speak to.                                                                           To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls.                                                                                                                                                                                                                       Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner.",65791,59746,56725,Not Available,13,12,65791,59746,56725,54212,51838,58072,,Not available,2.2,2.7,2.6,Not available,Not available,13,12,12,11,13,16,,Not available,Not available,Not available,Not available,Not available,Not available,2.2,2.7,2.6,0.013,0.024,0.042,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Northumbria Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",49215,50786,53384,59046,51848,56090,58072,53221,50708,51119,51418,50339,Data includes calls to 101 and other non-emergency numbers.,9,8,8,10,7,8,11,10,10,8,9,12,Northumbria Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,0.94,0.64,0.82,0.93,0.81,1.13,1.38,0.98,1.12,0.0108,0.0109,0.02,Data only includes calls abandoned after 30 seconds.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Nottinghamshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",32448,34906,35381,38810,33956,34724,33360,33406,33501,30575,29875,33032,Calls given above are only those calls received directly to the control room and do not include 999 calls.,21,19,18,27,20,20,14,14,13,9,11,12,Nottinghamshire Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,3.1,2.8,2.2,4.4,3,2.4,1.38,1.48,1.35,0.0064,0.0084,0.0091,A call is only counted as abandoned if the caller abandons after 30 seconds. If a call is abandoned before 30 seconds then this is not counted as an abandoned call.,Nottinghamshire Police operate an automated switchboard which allows the user to select an extension or ask for a person by name. A switchboard operator can be contacted if required.,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
South Wales Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",36958,39584,41721,44243,39591,42214,39862,37206,33862,33668,32725,38745,,9,12,16,19,14,16,16,7,9,7,9,9,,1,1.7,2,2.1,1.5,1.8,1.69,0.68,0.79,0.006,0.009,0.011,,Fall in answer time and abandonment rate can be explained by reduction in call volumes and rationalisation of shifts in the call centre.,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
South Yorkshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",39339,41090,39341,44540,38077,43286,42084,36893,35368,36083,34416,22513,,18.3,34.1,41.1,43.6,41.6,57.8,51,29,38,28,30,49,South Yorkshire Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,2.9,8.4,8.5,7.8,7.1,9.8,8.6,4.5,6.3,0.039,0.04,0.089,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Staffordshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",28811,32167,33288,36318,33463,34223,27584,33473,28161,26671,27575,30289,,45,77,109,113,143,167,216,347,113,51,84,62,Staffordshire Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,4.6,10,13.4,13.8,16.9,21,25.9,32.1,10.7,0.056,0.075,0.062,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Suffolk Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",15104,15548,15656,17018,15357,15685,15526,15300,13774,13455,12702,15994,,37.6,33.2,40.4,36.9,27.4,43.5,42,45,35,39.84,40.61,48.19,Suffolk Constabulary records the average time taken for calls to be answered by its switchboard. Calls are then transferred to designated call handlers who deal with non-emergency issues. The time taken for calls to be answered by designated call handlers is not recorded.,Not available,Not  available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suffolk Constabulary does not record abandoned calls.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Surrey Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",24354,25535,27319,29277,25604,27230,31040,30860,28227,27205,24434,27774,,96,138,144,116,102,158,151,132,113,164,162,147,Surrey Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,17.7,19.6,22.5,21.3,18.6,43.8,21.3,20.7,17.8,0.201,0.237,0.197,,Resourcing challenges and the implementation of new technology have impacted on performance. An improvement plan is in place which includes the recruitment of additional staff and enhanced training for existing staff. Performance is being monitored and is expected to improve over the coming months.,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Sussex Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",41225,44614,44130,49118,39765,36454,38679,33852,34693,34124,31202,37399,Unable to distinguish between 101 and other calls to local number.,131.1,219.8,228.2,332.8,149.4,117.4,90,44,41,42.8,40.8,36,Sussex Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,15.8,24.6,27.3,34.2,18.2,13.5,11.02,5.69,5.53,0.052,0.049,0.043,Measure of all abandoned calls as a proportion of the total calls.,"This marked improvement in call answer time and abandonment rates can be attributed to the 'go live' of Sussex Police's single site contact and control centre in November, in which three sites were brought together into one.  Performance in these areas had been affected during the first half of the year, as Sussex was running with the staffing levels for a single site, whilst operating over three sites due to delays in technology provision.  As soon as the single site came together the performance improved and has remained consistently high.","There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Thames Valley Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",79083,87145,89317,97484,83607,92205,87144,79850,74648,76783,74853,84486,,14.5,32.4,45.3,45.9,25.1,63.8,32,20,22,15.28,21.28,22.28,Thames Valley Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,2.28,5.88,7.43,8.6,4.8,13.5,6.33,3.67,3.89,0.0236,0.0344,0.0362,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Warwickshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",7307,7457,7566,8573,6859,7813,7668,7641,7114,8211,7967,9589,,8.34,5.25,5.6,5.4,5.8,6.1,6,5,5,13.34,11.91,13.6,,Not available,Not  available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Warwickshire Police does not record abandoned calls.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
West Mercia Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",18312,19208,20822,30115,26369,28046,27953,26321,25213,29721,28762,33572,,37,39,50,1.9,2,1.9,2,2,2,3.09,3.21,3.08,Calls to West Mercia are answered immediately by an automated system. The time taken for calls to be transferred to designated call handlers is not recorded.,6.2,6.4,8.4,0.4,0.4,0.4,0.38,0.48,0.54,0.0073,0.0064,0.0061,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
West Midlands Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",63474,67855,72021,130651,114393,Not available,122032,113436,101567,110222,103628,119752,,11,12,11,21,19,Not available,16,12,11,8,10,16,,4.1,4.4,4.1,7,6,Not available,6.46,6.77,4.23,0.0366,0.0393,0.0589,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
West Yorkshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",80560,82334,83666,92966,82648,92439,85506,77669,68891,70823,69461,78770,,18,35,60,106,131,277,261,204,78,32,30,50,West Yorkshire Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,4.85,6.57,7.05,13.8,17.6,31.74,28.65,22.71,9.76,0.0508,0.0681,0.0685,,"Staffing issues and organisational change have affected performance, we will turn this around by the end of the summer.","There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Wiltshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",24270,26219,27139,27366,27451,29916,28043,25662,24721,25603,23335,26713,,6,7,7,Not available,3,3,2,2,2,2,2,3,Wiltshire Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,0.5,0.8,0.7,Not available,0.6,0.5,1.7,0.2,0.3,0.0024,0.003,0.0043,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
